Date,Country,Predicted_Vaccinations
2022-03-28,Botswana,6775045.5173921585
2022-03-29,Botswana,8047077.1248579025
2022-03-30,Botswana,9378035.594348907
2022-03-31,Botswana,10626419.636325836
2022-03-30,Brazil,412782920.71802354
2022-03-31,Brazil,413295814.64290243
2022-03-26,British Virgin Islands,37704.135815143585
2022-03-27,British Virgin Islands,37866.805354595184
2022-03-28,British Virgin Islands,38014.41503930092
2022-03-29,British Virgin Islands,38149.44595980644
2022-03-30,British Virgin Islands,38278.722635388374
2022-03-31,British Virgin Islands,38402.34236371517
2022-03-30,Bulgaria,4366964.160400271
2022-03-31,Bulgaria,4368941.997086048
2022-03-29,Cambodia,36509911.26475334
2022-03-30,Cambodia,36524211.45769596
2022-03-31,Cambodia,36528137.64633536
2022-03-22,Cameroon,1604833.9681735039
2022-03-23,Cameroon,1743332.8017325401
2022-03-24,Cameroon,1909531.4763264656
2022-03-25,Cameroon,2109627.6079530716
2022-03-26,Cameroon,2351215.7149357796
2022-03-27,Cameroon,2641782.3613214493
2022-03-28,Cameroon,2995014.142654896
2022-03-29,Cameroon,3399440.406080246
2022-03-30,Cameroon,3889217.2529554367
2022-03-31,Cameroon,4463555.929573059
2022-03-29,Canada,81682146.36019784
2022-03-30,Canada,81698275.80227983
2022-03-31,Canada,81687385.86049199
2022-03-27,Cape Verde,765401.1740009785
2022-03-28,Cape Verde,779122.365041256
2022-03-29,Cape Verde,792090.882486105
2022-03-30,Cape Verde,801410.5126355886
2022-03-31,Cape Verde,810906.420468688
2022-03-26,Cayman Islands,141749.31765174866
2022-03-27,Cayman Islands,142845.29168963432
2022-03-28,Cayman Islands,143986.83808732033
2022-03-29,Cayman Islands,144936.20337080956
2022-03-30,Cayman Islands,145876.98914027214
2022-03-31,Cayman Islands,146799.57288193703
2022-03-26,Central African Republic,1131199.8571789265
2022-03-27,Central African Republic,1212944.40067029
2022-03-28,Central African Republic,1284801.8497308493
2022-03-29,Central African Republic,1361576.119564414
2022-03-30,Central African Republic,1438864.1645299196
2022-03-31,Central African Republic,1516148.1070166826
2022-03-23,Chile,50250741.563812494
2022-03-24,Chile,50300667.89788771
2022-03-25,Chile,50343386.514744766
2022-03-26,Chile,50380516.452361114
2022-03-27,Chile,50413766.69526852
2022-03-28,Chile,50444108.666253455
2022-03-29,Chile,50471152.59691394
2022-03-30,Chile,50499485.76151944
2022-03-31,Chile,50529419.974791534
2022-03-30,China,3225099249.311805
2022-03-31,China,3226842507.98136
2022-03-28,Colombia,79276647.97732437
2022-03-29,Colombia,79613401.64357746
2022-03-30,Colombia,79895569.71127617
2022-03-31,Colombia,80088434.66397238
2022-03-22,Comoros,705223.9901887178
2022-03-23,Comoros,722204.9207994938
2022-03-24,Comoros,737087.2913216352
2022-03-25,Comoros,752864.5352745056
2022-03-26,Comoros,765858.5888501406
2022-03-27,Comoros,778742.5327914953
2022-03-28,Comoros,789829.9550392628
2022-03-29,Comoros,801764.9757902622
2022-03-30,Comoros,814330.5026215315
2022-03-31,Comoros,827354.1867816448
2022-03-24,Congo,927735.9524412155
2022-03-25,Congo,974618.4085385799
