"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Date
"
North America
","130,353,914","+5,409","1,665,702",+11,"125,805,357","+10,982","2,882,855",2024-01-11
"
Asia
","221,285,051",+5,"1,552,498",,"205,323,950",+1,"14,408,603",2024-01-11
"
Europe
","252,717,157","+2,088","2,092,668",+25,"248,048,475","+6,172","2,576,014",2024-01-11
"
South America
","69,491,576",,"1,364,260",,"66,581,324",,"1,545,992",2024-01-11
"
Oceania
","14,731,298","+1,988","32,076",+10,"14,527,638",+3,"171,584",2024-01-11
"
Africa
","12,857,985",,"258,877",,"12,089,877",,"509,231",2024-01-11
"

",721,,15,,706,,0,2024-01-11
Cuba,"1,115,183",,"8,530                                ",,"1,106,584",,69,2024-01-11
Ecuador,"1,070,121",,"36,043                                ",,"1,034,078",,0,2024-01-11
UAE,"1,067,030",,"2,349                                ",,N/A,N/A,N/A,2024-01-11
Panama,"1,049,089",,"8,666                                ",,"1,040,268",,155,2024-01-11
Uruguay,"1,041,111",,"7,664                                ",,"1,030,944",,"2,503",2024-01-11
Mongolia,"1,011,420",,"2,284                                ",,"1,009,123",,13,2024-01-11
Nepal,"1,003,450",,"12,031                                ",,"991,322",,97,2024-01-11
Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",2024-01-11
Latvia,"981,106",,"6,523                                ",,"971,406",,"3,177",2024-01-11
Saudi Arabia,"841,469",,"9,646                                ",,N/A,N/A,N/A,2024-01-11
Azerbaijan,"834,305",,"10,379                                ",,"823,872",,54,2024-01-11
Paraguay,"823,491",,"20,069                                ",,N/A,N/A,N/A,2024-01-11
Bahrain,"729,549",,"1,574                                ",,"727,915",,60,2024-01-11
Sri Lanka,"672,718",,"16,891                                ",,"655,816",,11,2024-01-11
Dominican Republic,"670,627",,"4,384                                ",,"666,104",,139,2024-01-11
Kuwait,"666,586",,"2,570                                ",,N/A,N/A,N/A,2024-01-11
Cyprus,"660,854",,"1,364                                ",,"659,490",,0,2024-01-11
Myanmar,"641,448",,"19,495                                ",,"620,159",,"1,794",2024-01-11
Moldova,"629,501",,"12,167                                ",,N/A,N/A,N/A,2024-01-11
Estonia,"626,331",,"3,001                                ",,N/A,N/A,N/A,2024-01-11
Palestine,"621,008",,"5,404                                ",,"615,445",,159,2024-01-11
Venezuela,"552,695",,"5,856                                ",,"546,537",,302,2024-01-11
Egypt,"516,023",,"24,613                                ",,"442,182",,"49,228",2024-01-11
Qatar,"514,524",,690                                ,,"513,687",,147,2024-01-11
Libya,"507,274",,"6,437                                ",,"500,835",,2,2024-01-11
Ethiopia,"501,117",,"7,574                                ",,"488,171",,"5,372",2024-01-11
Réunion,"494,595",,921                                ,,N/A,N/A,N/A,2024-01-11
Honduras,"474,590",,"11,165                                ",,N/A,N/A,N/A,2024-01-11
Armenia,"451,353",,"8,776                                ",,"435,162",,"7,415",2024-01-11
Bosnia and Herzegovina,"403,477",,"16,377                                ",,"379,084",,"8,016",2024-01-11
Oman,"399,449",,"4,628                                ",,N/A,N/A,N/A,2024-01-11
Luxembourg,"388,257",,"1,232                                ",,N/A,N/A,N/A,2024-01-11
North Macedonia,"350,197",,"9,963                                ",,"337,068",,"3,166",2024-01-11
Zambia,"349,304",,"4,069                                ",,"341,316",,"3,919",2024-01-11
Kenya,"344,130",,"5,689                                ",,"337,309",,"1,132",2024-01-11
Albania,"334,726",,"3,602                                ",,"329,428",,"1,696",2024-01-11
Brunei ,"330,776",,225                                ,,"243,601",,"86,950",2024-01-11
Botswana,"330,417",,"2,801                                ",,"327,049",,567,2024-01-11
Montenegro,"295,898",,"2,843                                ",,"291,794",,"1,261",2024-01-11
Algeria,"272,010",,"6,881                                ",,"183,061",,"82,068",2024-01-11
Nigeria,"267,173",,"3,155                                ",,"259,953",,"4,065",2024-01-11
Zimbabwe,"266,048",,"5,731                                ",,"258,888",,"1,429",2024-01-11
Uzbekistan,"253,662",,"1,637                                ",,"241,486",,"10,539",2024-01-11
Mozambique,"233,731",,"2,250                                ",,"228,805",,"2,676",2024-01-11
Afghanistan,"230,449",,"7,973                                ",,"209,283",,"13,193",2024-01-11
Martinique,"230,354",,"1,102                                ",,N/A,N/A,N/A,2024-01-11
Laos,"218,907",,758                                ,,N/A,N/A,N/A,2024-01-11
Iceland,"209,650",,229                                ,,N/A,N/A,N/A,2024-01-11
Kyrgyzstan,"206,897",,"2,991                                ",,"196,406",,"7,500",2024-01-11
Guadeloupe,"203,235",,"1,021                                ",,N/A,N/A,N/A,2024-01-11
El Salvador,"201,835",,"4,230                                ",,"179,410",,"18,195",2024-01-11
Trinidad and Tobago,"191,496",,"4,390                                ",,"187,078",,28,2024-01-11
Maldives,"186,694",,316                                ,,"163,687",,"22,691",2024-01-11
Namibia,"172,239",,"4,103                                ",,"167,099",,"1,037",2024-01-11
Uganda,"171,983",,"3,632                                ",,"100,431",,"67,920",2024-01-11
Ghana,"171,889",,"1,462                                ",,"170,425",,2,2024-01-11
Jamaica,"156,584",,"3,664                                ",,N/A,N/A,N/A,2024-01-11
Cambodia,"139,045",+5,"3,056                                ",,"135,960",+1,29,2024-01-11
Rwanda,"133,518",,"1,468                                ",,"132,039",,11,2024-01-11
Cameroon,"125,242",,"1,974                                ",,"123,263",,5,2024-01-11
Malta,"121,144",,873                                ,,"119,676",,595,2024-01-11
Barbados,"110,298",,648                                ,,"108,647",,"1,003",2024-01-11
Angola,"106,720",,"1,937                                ",,"103,419",,"1,364",2024-01-11
Channel Islands,"101,717",,228                                ,,"101,321",,168,2024-01-11
DRC,"99,338",,"1,468                                ",,"84,489",,"13,381",2024-01-11
French Guiana,"98,041",,420                                ,,"11,254",,"86,367",2024-01-11
Malawi,"89,168",,"2,686                                ",,N/A,N/A,N/A,2024-01-11
Senegal,"89,050",,"1,971                                ",,"87,024",,55,2024-01-11
Ivory Coast,"88,384",,835                                ,,"87,497",,52,2024-01-11
Suriname,"82,588",,"1,408                                ",,N/A,N/A,N/A,2024-01-11
New Caledonia,"80,064",,314                                ,,N/A,N/A,N/A,2024-01-11
French Polynesia,"79,227",,649                                ,,N/A,N/A,N/A,2024-01-11
Eswatini,"75,191",,"1,427                                ",,"73,116",,648,2024-01-11
Guyana,"73,681",,"1,299                                ",,"72,013",,369,2024-01-11
Belize,"71,373",,688                                ,,N/A,N/A,N/A,2024-01-11
Fiji,"69,117",,885                                ,,"67,226",,"1,006",2024-01-11
Madagascar,"68,471",,"1,426                                ",,"66,862",,183,2024-01-11
Cabo Verde,"64,477",,417                                ,,"63,755",,305,2024-01-11
Sudan,"63,993",,"5,046                                ",,"58,947",,0,2024-01-11
Mauritania,"63,777",,997                                ,,"62,471",,309,2024-01-11
Bhutan,"62,697",,21                                ,,"61,564",,"1,112",2024-01-11
Syria,"57,743",,"3,165                                ",,"54,578",,0,2024-01-11
Burundi,"54,721",,38                                ,,"53,569",,"1,114",2024-01-11
Seychelles,"51,220",,172                                ,,"51,048",,0,2024-01-11
Gabon,"49,051",,307                                ,,"48,674",,70,2024-01-11
Andorra,"48,015",,165                                ,,N/A,N/A,N/A,2024-01-11
Papua New Guinea,"46,864",,670                                ,,"46,168",,26,2024-01-11
Curaçao,"45,986",,295                                ,,"44,720",,971,2024-01-11
Aruba,"44,224",,292                                ,,"42,438",,"1,494",2024-01-11
Tanzania,"43,223",,846                                ,,N/A,N/A,N/A,2024-01-11
Mauritius,"43,025",,"1,051                                ",,"41,278",,696,2024-01-11
Mayotte,"42,027",,188                                ,,N/A,N/A,N/A,2024-01-11
Togo,"39,553",,290                                ,,"39,262",,1,2024-01-11
Guinea,"38,572",,468                                ,,"37,757",,347,2024-01-11
Bahamas,"38,084",,844                                ,,"36,366",,874,2024-01-11
Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,2024-01-11
Lesotho,"36,135",,723                                ,,"25,980",,"9,432",2024-01-11
Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,2024-01-11
Haiti,"34,509",,860                                ,,"33,372",,277,2024-01-11
Mali,"33,164",,743                                ,,"32,332",,89,2024-01-11
Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",2024-01-11
Saint Lucia,"30,209",,410                                ,,"29,799",,0,2024-01-11
Benin,"28,036",,163                                ,,"27,847",,26,2024-01-11
Somalia,"27,334",,"1,361                                ",,"13,182",,"12,791",2024-01-11
Micronesia,"26,547",,65                                ,,N/A,N/A,N/A,2024-01-11
San Marino,"26,185",,128                                ,,"26,011",,46,2024-01-11
Solomon Islands,"25,954",,199                                ,,N/A,N/A,N/A,2024-01-11
Congo,"25,375",,386                                ,,"24,006",,983,2024-01-11
Timor-Leste,"23,460",,138                                ,,"23,102",,220,2024-01-11
Burkina Faso,"22,109",,400                                ,,"21,596",,113,2024-01-11
Liechtenstein,"21,561",,94                                ,,N/A,N/A,N/A,2024-01-11
Macao,"20,612",,123                                ,,"3,487",,"17,002",2024-01-11
Gibraltar,"20,550",,113                                ,,N/A,N/A,N/A,2024-01-11
Grenada,"19,693",,238                                ,,"19,358",,97,2024-01-11
Bermuda,"18,860",,165                                ,,"18,685",,10,2024-01-11
South Sudan,"18,765",,147                                ,,"18,115",,503,2024-01-11
Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",2024-01-11
Tajikistan,"17,786",,125                                ,,"17,264",,397,2024-01-11
Equatorial Guinea,"17,229",,183                                ,,"16,907",,139,2024-01-11
Monaco,"17,181",,67                                ,,N/A,N/A,N/A,2024-01-11
Samoa,"17,006",,31                                ,,"1,605",,"15,370",2024-01-11
Tonga,"16,888",,13                                ,,"15,638",,"1,237",2024-01-11
Marshall Islands,"16,138",,17                                ,,"16,121",,0,2024-01-11
