iter	Passed	Remaining
350	1095646	2025853
351	1098766	2022728
352	1101883	2019600
353	1105016	2016499
354	1108131	2013364
355	1111247	2010234
356	1114365	2007106
357	1117482	2003977
358	1120613	2000872
359	1123727	1997737
360	1126848	1994615
361	1129976	1991505
362	1133095	1988380
363	1136227	1985276
364	1139345	1982149
365	1142468	1979029
366	1145584	1975899
367	1148702	1972771
368	1151828	1969658
369	1154965	1966562
370	1158083	1963435
371	1161214	1960330
372	1164324	1957189
373	1167448	1954071
374	1170571	1950952
375	1173686	1947820
376	1176807	1944698
377	1179927	1941574
378	1183038	1938435
379	1186158	1935310
380	1189343	1932293
381	1192589	1929371
382	1195717	1926259
383	1198834	1923130
384	1201954	1920005
385	1205072	1916876
386	1208195	1913756
387	1211314	1910630
388	1214421	1907484
389	1217530	1904342
390	1220654	1901224
391	1223771	1898094
392	1226890	1894968
393	1230008	1891841
394	1233124	1888708
395	1236257	1885604
396	1239370	1882469
397	1242490	1879345
398	1245606	1876214
399	1248727	1873090
400	1251855	1869978
401	1254979	1866859
402	1258109	1863750
403	1261233	1860631
404	1264353	1857507
405	1267481	1854393
406	1270609	1851280
407	1273728	1848154
408	1276853	1845037
409	1279971	1841910
410	1283098	1838795
411	1286228	1835684
412	1289379	1832605
413	1292510	1829495
414	1295634	1826376
415	1298750	1823245
416	1301875	1820128
417	1304993	1817000
418	1308121	1813887
419	1311235	1810753
420	1314349	1807621
421	1317474	1804502
422	1320592	1801375
423	1323720	1798261
424	1326848	1795147
425	1329978	1792036
426	1333105	1788921
427	1336227	1785799
428	1339350	1782679
429	1342470	1779554
430	1345586	1776423
431	1348707	1773300
432	1351826	1770175
433	1354955	1767061
434	1358077	1763940
435	1361197	1760815
436	1364313	1757684
437	1367436	1754564
438	1370564	1751450
439	1373683	1748325
440	1376820	1745221
441	1379935	1742090
442	1383064	1738977
443	1386181	1735848
444	1389297	1732718
445	1392423	1729602
446	1395537	1726470
447	1398802	1723524
448	1401920	1720397
449	1405034	1717264
450	1408162	1714148
451	1411281	1711022
452	1414399	1707895
453	1417523	1704775
454	1420645	1701652
455	1423764	1698526
456	1426887	1695404
457	1430010	1692282
458	1433138	1689167
459	1436264	1686049
460	1439394	1682936
461	1442526	1679824
462	1445648	1676702
463	1448778	1673589
464	1451901	1670466
465	1455029	1667351
466	1458159	1664238
467	1461307	1661143
468	1464429	1658021
469	1467553	1654900
470	1470673	1651775
471	1473788	1648645
472	1476908	1645519
473	1480031	1642398
