iter	MultiClass
0	2.461259028
1	2.413196204
2	2.369372754
3	2.337413541
4	2.311084535
5	2.286205707
6	2.266178509
7	2.247299068
8	2.230486283
9	2.217737955
10	2.202007524
11	2.184639198
12	2.171269156
13	2.159813725
14	2.146309374
15	2.133474996
16	2.123367142
17	2.114813023
18	2.105549818
19	2.095140161
20	2.085603566
21	2.071953439
22	2.062827524
23	2.053757942
24	2.044246307
25	2.035297371
26	2.027344008
27	2.020656442
28	2.013343708
29	2.006496088
30	1.996954948
31	1.990595214
32	1.981039714
33	1.973802295
34	1.96702797
35	1.960853894
36	1.954965987
37	1.947307605
38	1.940676079
39	1.933286921
40	1.927668925
41	1.920831345
42	1.915580193
43	1.909331849
44	1.903981143
45	1.897746847
46	1.89279404
47	1.888039452
48	1.883466012
49	1.877322659
50	1.87221932
51	1.867422924
52	1.862414274
53	1.8576544
54	1.853615676
55	1.848937384
56	1.843026555
57	1.839147271
58	1.8348865
59	1.830520076
60	1.826089733
61	1.822546018
62	1.818303491
63	1.813820433
64	1.809851265
65	1.805855206
66	1.80231488
67	1.799307463
68	1.795371664
69	1.789898789
70	1.78597184
71	1.782393063
72	1.77759227
73	1.773838879
74	1.770390478
75	1.764970267
76	1.760894052
77	1.757646123
78	1.754440094
79	1.750801684
80	1.747959191
81	1.744645707
82	1.740855771
83	1.737513308
84	1.734556772
85	1.730944569
86	1.726303211
87	1.723258323
88	1.719523047
89	1.715909782
90	1.712761339
91	1.709911494
92	1.707508785
93	1.704802311
94	1.70007721
95	1.697603609
96	1.694761071
97	1.691838471
98	1.688240243
99	1.684616296
100	1.681640976
101	1.678240064
102	1.675795673
103	1.672696809
104	1.670091075
105	1.66649738
106	1.663710196
107	1.661641333
108	1.658655349
109	1.656164744
110	1.653697538
111	1.650827666
112	1.648225349
113	1.645482216
114	1.643062135
115	1.64068457
116	1.637853042
117	1.634913051
118	1.632239903
119	1.629392275
120	1.626103181
121	1.623238486
122	1.620501818
123	1.618323852
124	1.615854801
125	1.613737364
126	1.611486556
127	1.609167206
128	1.60686866
129	1.604762722
130	1.601935724
131	1.598892048
132	1.596267036
133	1.594075577
134	1.591936889
135	1.589951583
136	1.58666777
137	1.584311261
138	1.582284036
139	1.580495811
140	1.578248434
141	1.576000235
142	1.57412188
143	1.571934573
144	1.569070125
145	1.567364848
146	1.565342731
147	1.563183497
148	1.560864016
149	1.559059058
150	1.557214615
151	1.555173734
152	1.553351598
153	1.551013892
154	1.549105968
155	1.547264051
156	1.545397008
157	1.543693283
158	1.541028967
159	1.539003175
160	1.537349636
161	1.535604261
162	1.534047176
163	1.532277274
164	1.530683772
165	1.528046743
166	1.525289545
167	1.523758683
168	1.521081874
169	1.518972446
170	1.517216318
171	1.515541392
172	1.513049911
173	1.510876823
174	1.508907412
175	1.506243314
176	1.503483513
177	1.501954007
178	1.500220266
179	1.498549221
180	1.496988503
181	1.495327489
182	1.49388842
183	1.492454291
184	1.490973099
185	1.489208364
186	1.486969307
187	1.484701183
188	1.482676544
189	1.480904953
190	1.479466141
191	1.478015483
192	1.476401229
193	1.475074209
194	1.473556683
195	1.472424872
196	1.4703082
197	1.468763217
198	1.467292346
199	1.466097305
200	1.46427812
201	1.462878308
202	1.461244364
203	1.459862314
204	1.458144738
205	1.456441153
206	1.455154544
207	1.453858435
208	1.452359883
209	1.45099891
210	1.449846306
211	1.448702378
212	1.44758834
213	1.446457246
214	1.445115822
215	1.443941063
216	1.442165788
217	1.439292083
218	1.438010208
219	1.436611439
220	1.4354128
221	1.43412432
222	1.432835405
223	1.431621865
224	1.429772691
225	1.428763862
226	1.427339825
227	1.425957001
228	1.424963942
229	1.423942816
230	1.422867121
231	1.421024209
232	1.419955606
233	1.418566744
234	1.41690868
235	1.415848083
236	1.414633211
237	1.413468402
238	1.412275927
239	1.411358299
240	1.409821324
241	1.40852192
242	1.407391497
243	1.406286869
244	1.40510045
245	1.403081861
246	1.401952784
247	1.400974089
248	1.399901618
249	1.398879954
250	1.397856215
251	1.396813997
252	1.396005022
253	1.394924623
254	1.394065441
255	1.393123802
256	1.39229999
257	1.391348522
258	1.389358738
259	1.388179963
260	1.387096519
261	1.38617263
262	1.384536485
263	1.38359554
264	1.382545807
265	1.38167689
266	1.380203882
267	1.379068104
268	1.378229918
269	1.37729969
270	1.376387503
271	1.375192746
272	1.374376647
273	1.373297684
274	1.372312182
275	1.370925026
276	1.370044506
277	1.368683043
278	1.367836151
279	1.366841478
280	1.366047122
281	1.365117067
282	1.364299646
283	1.362278658
284	1.36085036
285	1.359877783
286	1.358611982
287	1.357488873
288	1.356474972
289	1.354963695
290	1.354060371
291	1.353156863
292	1.352250655
293	1.351533945
294	1.35073728
295	1.349802143
296	1.348971597
297	1.348126003
298	1.347400426
299	1.346102454
300	1.345271
301	1.344208555
302	1.343550133
303	1.342773517
304	1.341873649
305	1.340530397
306	1.339229252
307	1.338063665
308	1.337298712
309	1.336350765
310	1.335521798
311	1.334767403
312	1.332898564
313	1.332184953
314	1.331160801
315	1.330061919
316	1.329360135
317	1.328738942
318	1.328038584
319	1.327133439
320	1.326409439
321	1.325238885
322	1.324555619
323	1.323475856
324	1.322470945
325	1.321664856
326	1.32072714
327	1.320033341
328	1.319269576
329	1.318533514
330	1.316852988
331	1.31592647
332	1.315212046
333	1.31435513
334	1.31332524
335	1.312119975
336	1.311439641
337	1.310868899
338	1.309974634
339	1.309058165
340	1.308475061
341	1.307477878
342	1.306812558
343	1.306005321
344	1.3053102
345	1.304160558
346	1.303491974
347	1.302674324
348	1.302055152
349	1.301473158
350	1.300901455
351	1.30013005
352	1.299424569
353	1.298743809
354	1.298256103
355	1.297217885
356	1.296298596
357	1.295639077
358	1.294927488
359	1.29401134
360	1.293165725
361	1.292443276
362	1.291387503
363	1.290872404
364	1.290108092
365	1.28931504
366	1.288584515
367	1.287673206
368	1.287137308
369	1.286449364
370	1.28591535
371	1.285183568
372	1.284564097
373	1.283808998
374	1.28301285
375	1.282394197
376	1.281631215
377	1.281000327
378	1.280377502
379	1.279758521
380	1.278958816
381	1.278278244
382	1.277570178
383	1.276668669
384	1.27603634
385	1.27552337
386	1.275015769
387	1.274529032
388	1.273953365
389	1.273149597
390	1.272656827
391	1.271327672
392	1.270583609
393	1.269957182
394	1.269385459
395	1.268680479
396	1.2677001
397	1.267081939
398	1.266454316
399	1.265883593
400	1.265165076
401	1.264487067
402	1.263801448
403	1.263165125
404	1.262662502
405	1.262161481
406	1.26163102
407	1.261073819
408	1.260540743
409	1.260021178
410	1.259485519
411	1.258931595
412	1.257922219
413	1.257070583
414	1.255016044
415	1.254415813
416	1.253493892
417	1.252716153
418	1.252115801
419	1.251108342
420	1.250547765
421	1.250101171
422	1.249361168
423	1.247740425
424	1.24721795
425	1.246627058
426	1.246072432
427	1.245491146
428	1.244894994
429	1.244278057
430	1.243841515
431	1.24323392
432	1.242620684
433	1.242073124
434	1.240823344
435	1.240179658
436	1.239675787
437	1.239167348
438	1.238681076
439	1.237939468
440	1.237416261
441	1.236393655
442	1.235429444
443	1.234812184
444	1.233991199
445	1.233373327
