iter	Passed	Remaining
0	65	65180
1	112	56094
2	157	52216
3	200	49880
4	245	48803
5	289	47999
6	334	47521
7	382	47405
8	425	46892
9	472	46760
10	515	46305
11	559	46064
12	606	46032
13	651	45858
14	696	45726
15	741	45622
16	789	45634
17	834	45531
18	880	45469
19	928	45489
20	972	45341
21	1016	45190
22	1061	45095
23	1109	45122
24	1155	45073
25	1199	44928
26	1242	44770
27	1285	44620
28	1330	44534
29	1373	44411
30	1417	44307
31	1460	44168
32	1503	44054
33	1547	43973
34	1592	43915
35	1635	43808
36	1681	43751
37	1726	43712
38	1772	43688
39	1826	43825
40	1881	44014
41	1924	43906
42	1968	43815
43	2012	43728
44	2058	43684
45	2100	43572
46	2144	43480
47	2187	43395
48	2232	43321
49	2274	43224
50	2318	43143
51	2360	43039
52	2405	42974
53	2448	42896
54	2492	42819
55	2536	42753
56	2579	42681
57	2623	42607
58	2666	42531
59	2711	42476
60	2755	42419
61	2799	42358
62	2842	42274
63	2885	42206
64	2932	42188
65	2982	42209
66	3027	42153
67	3070	42084
68	3114	42026
69	3160	41985
70	3204	41926
71	3247	41853
72	3291	41793
73	3335	41738
74	3379	41680
75	3423	41618
76	3466	41550
77	3510	41496
78	3554	41443
79	3602	41426
80	3645	41366
81	3689	41304
82	3731	41230
83	3775	41169
84	3819	41117
85	3861	41043
86	3905	40981
87	3948	40924
88	3991	40857
89	4034	40797
90	4079	40750
91	4125	40721
92	4175	40719
93	4231	40787
94	4277	40746
95	4320	40682
96	4362	40614
97	4405	40545
98	4447	40478
99	4492	40429
100	4535	40368
101	4578	40309
102	4622	40252
103	4665	40196
104	4714	40183
105	4766	40197
106	4810	40144
107	4853	40083
108	4898	40042
109	4943	39998
110	4986	39939
111	5029	39875
112	5074	39831
113	5118	39782
114	5163	39735
115	5207	39687
116	5250	39623
117	5292	39555
118	5333	39488
119	5378	39441
120	5422	39388
121	5465	39333
122	5508	39272
123	5551	39218
124	5595	39170
125	5640	39124
126	5682	39063
127	5724	38996
128	5767	38938
129	5813	38906
130	5857	38858
131	5899	38793
132	5943	38744
133	5985	38685
134	6030	38640
135	6075	38596
136	6117	38535
137	6161	38484
138	6204	38429
139	6248	38385
140	6293	38339
141	6337	38293
142	6380	38240
143	6426	38201
144	6478	38199
145	6522	38152
146	6566	38100
147	6609	38047
148	6651	37989
149	6696	37948
150	6739	37895
151	6782	37841
152	6825	37786
153	6869	37737
154	6913	37691
155	6958	37646
156	7001	37591
157	7042	37531
158	7085	37476
159	7130	37436
160	7175	37391
161	7218	37340
162	7261	37289
163	7304	37237
164	7349	37191
165	7392	37140
166	7434	37085
167	7480	37045
168	7522	36990
169	7567	36945
170	7615	36918
171	7663	36893
172	7711	36862
173	7758	36830
174	7805	36795
175	7847	36740
176	7891	36690
177	7933	36637
178	7976	36587
179	8020	36537
180	8064	36490
181	8107	36440
182	8150	36389
183	8194	36342
184	8241	36305
185	8284	36256
186	8327	36204
187	8371	36157
188	8415	36109
189	8460	36068
190	8504	36022
191	8547	35968
192	8589	35915
193	8631	35862
194	8676	35818
195	8722	35780
196	8765	35730
197	8810	35687
198	8855	35643
199	8899	35598
200	8942	35549
201	8986	35502
202	9028	35446
203	9071	35394
204	9113	35342
205	9161	35310
206	9209	35280
207	9253	35233
208	9295	35181
209	9339	35134
210	9381	35082
